start_node,end_node,pts,length,mean_width,median_width,mean_depth,median_depth,mean_r2,median_r2,considered_trans,water_filled
1094,1093,"[[582849.0, 7701341.0], [582849.0, 7701340.0], [582849.0, 7701339.0]]",2.0,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0
1096,1094,"[[582850.0, 7701338.0], [582851.0, 7701338.0], [582852.0, 7701337.0], [582853.0, 7701337.0], [582854.0, 7701337.0]]",4.414213562373095,5.823962308189108,5.823962308189108,0.08794530224385785,0.08794530224385785,0.8264563414226682,0.8264563414226682,0.67,0.0
1098,1090,"[[582846.0, 7700812.0], [582847.0, 7700812.0], [582848.0, 7700812.0], [582849.0, 7700811.0], [582850.0, 7700811.0], [582851.0, 7700811.0], [582852.0, 7700811.0], [582853.0, 7700811.0], [582854.0, 7700811.0], [582855.0, 7700811.0], [582856.0, 7700810.0], [582857.0, 7700810.0], [582858.0, 7700810.0], [582859.0, 7700810.0], [582860.0, 7700810.0], [582861.0, 7700810.0]]",15.828427124746192,4.322280751275201,4.503148512538874,0.10534886536623324,0.09988409567382053,0.919252430376474,0.9195145675264844,0.29,0.0
1099,1091,"[[582847.0, 7701360.0], [582848.0, 7701360.0], [582849.0, 7701360.0], [582850.0, 7701360.0], [582851.0, 7701361.0], [582852.0, 7701360.0], [582853.0, 7701360.0], [582854.0, 7701359.0], [582855.0, 7701359.0], [582856.0, 7701359.0], [582857.0, 7701359.0], [582858.0, 7701358.0], [582859.0, 7701358.0], [582860.0, 7701358.0], [582861.0, 7701358.0], [582862.0, 7701358.0], [582863.0, 7701358.0], [582864.0, 7701359.0], [582865.0, 7701360.0]]",20.48528137423857,5.7315992474595925,5.505893244496505,0.13486371606435735,0.12620701013376678,0.8638004100694822,0.8658440172956161,0.65,0.0
1100,1097,"[[582857.0, 7701179.0], [582857.0, 7701178.0], [582857.0, 7701177.0], [582858.0, 7701176.0], [582859.0, 7701175.0], [582860.0, 7701174.0], [582861.0, 7701173.0], [582862.0, 7701172.0], [582863.0, 7701171.0], [582863.0, 7701170.0], [582863.0, 7701169.0], [582864.0, 7701168.0], [582864.0, 7701167.0], [582865.0, 7701166.0], [582865.0, 7701165.0]]",17.313708498984763,9.053860784471343,9.023855693420197,0.14976035975404647,0.1505501990440023,0.9105385044506318,0.9106165042200544,0.92,0.0
1101,1095,"[[582852.0, 7700755.0], [582853.0, 7700755.0], [582854.0, 7700755.0], [582855.0, 7700755.0], [582856.0, 7700755.0], [582857.0, 7700755.0], [582858.0, 7700754.0], [582859.0, 7700754.0], [582860.0, 7700753.0], [582861.0, 7700753.0], [582862.0, 7700752.0], [582863.0, 7700751.0], [582864.0, 7700750.0], [582865.0, 7700749.0], [582866.0, 7700749.0], [582867.0, 7700749.0], [582868.0, 7700749.0], [582869.0, 7700749.0], [582870.0, 7700749.0]]",20.485281374238568,6.9270773273110064,5.799266957851785,0.11101481498111516,0.10486560425012553,0.8640231648197081,0.8570294461793755,0.35,0.0
1103,1104,"[[582877.0, 7701072.0], [582877.0, 7701071.0], [582877.0, 7701070.0], [582878.0, 7701069.0], [582878.0, 7701068.0], [582878.0, 7701067.0], [582877.0, 7701066.0], [582877.0, 7701065.0], [582877.0, 7701064.0], [582878.0, 7701063.0], [582878.0, 7701062.0]]",11.242640687119286,5.168098188074977,5.815843250602639,0.17626967317893585,0.16451513229518994,0.9054285903457499,0.8886715990275579,0.78,0.0
1106,1092,"[[582848.0, 7701397.0], [582849.0, 7701396.0], [582850.0, 7701396.0], [582851.0, 7701395.0], [582852.0, 7701394.0], [582853.0, 7701393.0], [582854.0, 7701393.0], [582855.0, 7701393.0], [582856.0, 7701392.0], [582857.0, 7701391.0], [582858.0, 7701391.0], [582859.0, 7701390.0], [582860.0, 7701389.0], [582861.0, 7701389.0], [582862.0, 7701390.0], [582863.0, 7701390.0], [582864.0, 7701391.0], [582865.0, 7701391.0], [582866.0, 7701391.0], [582867.0, 7701390.0], [582868.0, 7701390.0], [582869.0, 7701390.0], [582870.0, 7701390.0], [582871.0, 7701390.0], [582872.0, 7701389.0], [582873.0, 7701389.0], [582874.0, 7701388.0], [582875.0, 7701388.0], [582876.0, 7701388.0], [582877.0, 7701388.0], [582878.0, 7701388.0], [582879.0, 7701387.0], [582880.0, 7701386.0], [582881.0, 7701385.0], [582881.0, 7701384.0], [582882.0, 7701383.0], [582883.0, 7701382.0], [582884.0, 7701382.0]]",44.4558441227157,6.665302363937337,5.662548363396191,0.12581209821286585,0.10384885839459197,0.870370267022989,0.8668041112038749,0.5,0.0
1108,1102,"[[582871.0, 7701438.0], [582872.0, 7701438.0], [582873.0, 7701438.0], [582874.0, 7701438.0], [582875.0, 7701438.0], [582876.0, 7701438.0], [582877.0, 7701438.0], [582878.0, 7701439.0], [582879.0, 7701439.0], [582880.0, 7701439.0], [582881.0, 7701440.0], [582882.0, 7701440.0], [582883.0, 7701440.0], [582884.0, 7701440.0], [582885.0, 7701440.0], [582886.0, 7701440.0], [582887.0, 7701440.0], [582888.0, 7701440.0], [582889.0, 7701439.0], [582890.0, 7701439.0], [582891.0, 7701439.0], [582892.0, 7701439.0], [582893.0, 7701439.0], [582894.0, 7701438.0], [582895.0, 7701438.0], [582896.0, 7701438.0]]",26.65685424949238,5.012599107988378,4.4623752977941225,0.13465367134639858,0.12596312841210597,0.8962694911710483,0.9016479742933181,0.79,0.0
1109,1105,"[[582881.0, 7701422.0], [582882.0, 7701421.0], [582883.0, 7701420.0], [582883.0, 7701419.0], [582884.0, 7701418.0], [582885.0, 7701417.0], [582886.0, 7701416.0], [582887.0, 7701416.0], [582888.0, 7701415.0], [582889.0, 7701415.0], [582890.0, 7701415.0], [582891.0, 7701414.0], [582892.0, 7701414.0], [582893.0, 7701414.0], [582894.0, 7701414.0], [582895.0, 7701414.0], [582896.0, 7701413.0]]",19.31370849898476,5.514112495962265,4.929243105790677,0.12740447492168316,0.12028093254892416,0.8715566354029775,0.8447106788315909,0.47,0.0
1110,1109,"[[582897.0, 7701412.0], [582897.0, 7701411.0], [582897.0, 7701410.0]]",2.0,5.750625678977336,5.750625678977336,0.2568742765716058,0.2568742765716058,0.9443036527866431,0.9443036527866431,1.0,0.0
1113,1108,"[[582896.0, 7701438.0], [582897.0, 7701437.0], [582898.0, 7701436.0], [582899.0, 7701435.0], [582899.0, 7701434.0], [582899.0, 7701433.0], [582899.0, 7701432.0]]",7.242640687119286,7.174673100172651,7.174673100172651,0.1017470400989781,0.1017470400989781,0.9262104582862618,0.9262104582862618,0.4,0.0
1115,1107,"[[582893.0, 7701258.0], [582894.0, 7701258.0], [582895.0, 7701257.0], [582896.0, 7701256.0], [582897.0, 7701255.0], [582898.0, 7701255.0], [582899.0, 7701255.0], [582900.0, 7701254.0], [582901.0, 7701253.0], [582902.0, 7701252.0], [582903.0, 7701252.0], [582904.0, 7701251.0]]",13.899494936611667,5.467269442217264,5.447594024299268,0.12856373213628414,0.1303764742417786,0.91877837899037,0.9374138387770036,0.9,0.0
1116,1108,"[[582896.0, 7701438.0], [582897.0, 7701439.0], [582897.0, 7701440.0], [582898.0, 7701441.0], [582898.0, 7701442.0], [582899.0, 7701443.0], [582900.0, 7701443.0], [582901.0, 7701443.0], [582902.0, 7701443.0], [582903.0, 7701443.0], [582904.0, 7701443.0], [582905.0, 7701443.0], [582906.0, 7701444.0], [582907.0, 7701445.0]]",15.071067811865476,6.196361278535162,6.041330313546748,0.118774789327939,0.1260409269653878,0.8999164107867748,0.9029901225171548,0.75,0.0
1118,1112,"[[582898.0, 7700775.0], [582899.0, 7700775.0], [582900.0, 7700775.0], [582901.0, 7700776.0], [582902.0, 7700776.0], [582903.0, 7700776.0], [582904.0, 7700776.0], [582905.0, 7700776.0], [582906.0, 7700776.0], [582907.0, 7700776.0], [582908.0, 7700776.0]]",10.414213562373096,8.131567208315527,8.131567208315527,0.09987743933360095,0.09987743933360095,0.8498194488307975,0.8498194488307975,0.22,0.0
1119,1111,"[[582897.0, 7701375.0], [582898.0, 7701374.0], [582899.0, 7701373.0], [582900.0, 7701373.0], [582901.0, 7701373.0], [582902.0, 7701373.0], [582903.0, 7701373.0], [582904.0, 7701372.0], [582905.0, 7701371.0], [582906.0, 7701370.0], [582907.0, 7701370.0], [582908.0, 7701370.0], [582909.0, 7701369.0], [582910.0, 7701369.0], [582911.0, 7701369.0], [582912.0, 7701369.0]]",17.48528137423857,7.800321905725963,5.9730094721305385,0.1450705332227691,0.12405971267544219,0.877093551871478,0.8924327012331894,0.5,0.0
1120,1117,"[[582907.0, 7701127.0], [582908.0, 7701127.0], [582909.0, 7701127.0], [582910.0, 7701128.0], [582911.0, 7701128.0], [582912.0, 7701127.0], [582913.0, 7701128.0], [582914.0, 7701129.0], [582915.0, 7701130.0], [582915.0, 7701131.0], [582915.0, 7701132.0], [582915.0, 7701133.0], [582915.0, 7701134.0]]",14.071067811865476,5.777320505187999,5.8933632806602345,0.110852200832819,0.11774646029117564,0.8478364903021531,0.8423877672017457,0.55,0.0
